x,y,id,start,end,size
150,600,0,10.95,15.65,0.228
125,500,0,10.95,15.65,0.228
275,400,0,10.95,15.65,0.228
900,200,0,10.95,15.65,0.228
675,400,0,10.95,15.65,0.228
525,500,0,10.95,15.65,0.228
500,600,0,10.95,15.65,0.228
500,600,1,3.63,7.03,0.222
525,500,1,3.63,7.03,0.222
675,400,1,3.63,7.03,0.222
900,200,1,3.63,7.03,0.222
275,400,1,3.63,7.03,0.222
275,500,1,3.63,7.03,0.222
300,600,1,3.63,7.03,0.222
1100,600,2,3.10,5.66,0.266
1075,500,2,3.10,5.66,0.266
925,400,2,3.10,5.66,0.266
700,200,2,3.10,5.66,0.266
125,400,2,3.10,5.66,0.266
275,500,2,3.10,5.66,0.266
300,600,2,3.10,5.66,0.266
700,600,3,4.58,8.33,0.267
675,500,3,4.58,8.33,0.267
525,400,3,4.58,8.33,0.267
500,200,3,4.58,8.33,0.267
1325,400,3,4.58,8.33,0.267
1475,500,3,4.58,8.33,0.267
1450,600,3,4.58,8.33,0.267
700,600,4,1.63,4.85,0.340
675,500,4,1.63,4.85,0.340
525,400,4,1.63,4.85,0.340
500,200,4,1.63,4.85,0.340
1325,400,4,1.63,4.85,0.340
1325,500,4,1.63,4.85,0.340
1350,600,4,1.63,4.85,0.340
250,600,5,17.56,22.64,0.233
275,500,5,17.56,22.64,0.233
275,400,5,17.56,22.64,0.233
1100,200,5,17.56,22.64,0.233
1075,400,5,17.56,22.64,0.233
925,500,5,17.56,22.64,0.233
950,600,5,17.56,22.64,0.233
1300,600,6,19.05,23.34,0.129
1325,500,6,19.05,23.34,0.129
1475,400,6,19.05,23.34,0.129
900,200,6,19.05,23.34,0.129
1075,400,6,19.05,23.34,0.129
1075,500,6,19.05,23.34,0.129
1100,600,6,19.05,23.34,0.129
1350,600,7,16.12,20.02,0.152
1325,500,7,16.12,20.02,0.152
1325,400,7,16.12,20.02,0.152
500,200,7,16.12,20.02,0.152
525,400,7,16.12,20.02,0.152
525,500,7,16.12,20.02,0.152
550,600,7,16.12,20.02,0.152
1300,600,8,17.44,22.20,0.312
1325,500,8,17.44,22.20,0.312
1475,400,8,17.44,22.20,0.312
1100,200,8,17.44,22.20,0.312
675,400,8,17.44,22.20,0.312
525,500,8,17.44,22.20,0.312
550,600,8,17.44,22.20,0.312
1500,600,9,8.17,9.94,0.150
1475,500,9,8.17,9.94,0.150
1475,400,9,8.17,9.94,0.150
900,200,9,8.17,9.94,0.150
1075,400,9,8.17,9.94,0.150
1075,500,9,8.17,9.94,0.150
1050,600,9,8.17,9.94,0.150
300,600,10,4.74,10.02,0.284
275,500,10,4.74,10.02,0.284
125,400,10,4.74,10.02,0.284
500,200,10,4.74,10.02,0.284
925,400,10,4.74,10.02,0.284
1075,500,10,4.74,10.02,0.284
1050,600,10,4.74,10.02,0.284
1450,600,11,19.49,24.19,0.312
1475,500,11,19.49,24.19,0.312
1325,400,11,19.49,24.19,0.312
700,200,11,19.49,24.19,0.312
125,400,11,19.49,24.19,0.312
275,500,11,19.49,24.19,0.312
250,600,11,19.49,24.19,0.312
550,600,12,1.93,5.35,0.290
525,500,12,1.93,5.35,0.290
525,400,12,1.93,5.35,0.290
500,200,12,1.93,5.35,0.290
925,400,12,1.93,5.35,0.290
925,500,12,1.93,5.35,0.290
900,600,12,1.93,5.35,0.290
950,600,13,1.31,6.34,0.177
925,500,13,1.31,6.34,0.177
1075,400,13,1.31,6.34,0.177
1100,200,13,1.31,6.34,0.177
275,400,13,1.31,6.34,0.177
125,500,13,1.31,6.34,0.177
150,600,13,1.31,6.34,0.177
900,600,14,17.88,19.27,0.310
925,500,14,17.88,19.27,0.310
1075,400,14,17.88,19.27,0.310
900,200,14,17.88,19.27,0.310
1475,400,14,17.88,19.27,0.310
1475,500,14,17.88,19.27,0.310
1450,600,14,17.88,19.27,0.310
1050,600,15,16.16,17.67,0.306
1075,500,15,16.16,17.67,0.306
1075,400,15,16.16,17.67,0.306
900,200,15,16.16,17.67,0.306
1475,400,15,16.16,17.67,0.306
1475,500,15,16.16,17.67,0.306
1500,600,15,16.16,17.67,0.306
950,600,16,8.90,13.97,0.396
925,500,16,8.90,13.97,0.396
925,400,16,8.90,13.97,0.396
500,200,16,8.90,13.97,0.396
525,400,16,8.90,13.97,0.396
675,500,16,8.90,13.97,0.396
650,600,16,8.90,13.97,0.396
