x,y,id
406,600,0
397,500,0
307,400,0
1014,200,0
1411,400,0
1501,500,0
1474,600,0
980,600,1
953,500,1
953,400,1
863,500,1
890,600,1
1348,600,2
1321,500,2
1321,400,2
614,200,2
585,400,2
585,500,2
558,600,2
854,600,3
863,500,3
1133,400,3
1133,500,3
1142,600,3
1258,600,4
1231,500,4
1231,400,4
1411,500,4
1402,600,4
1420,600,5
1411,500,5
1231,400,5
1231,500,5
1258,600,5
926,600,6
953,500,6
953,400,6
614,200,6
585,400,6
495,500,6
522,600,6
522,600,7
495,500,7
495,400,7
214,200,7
127,400,7
307,500,7
298,600,7
890,600,8
863,500,8
1133,400,8
1133,500,8
1142,600,8
890,600,9
863,500,9
1133,400,9
953,500,9
926,600,9
1204,600,10
1231,500,10
1501,400,10
1414,200,10
397,400,10
127,500,10
100,600,10
1420,600,11
1411,500,11
1231,400,11
214,200,11
127,400,11
397,500,11
406,600,11
1474,600,12
1501,500,12
1321,400,12
614,200,12
585,400,12
675,500,12
648,600,12
792,600,13
765,500,13
585,400,13
614,200,13
217,400,13
217,500,13
208,600,13
756,600,14
765,500,14
585,400,14
614,200,14
953,400,14
953,500,14
926,600,14
854,600,15
863,500,15
953,400,15
1133,500,15
1124,600,15
1160,600,16
1133,500,16
1043,400,16
1043,500,16
1070,600,16
702,600,17
675,500,17
495,400,17
585,500,17
558,600,17
1384,600,18
1411,500,18
1501,400,18
1414,200,18
397,400,18
397,500,18
424,600,18
1510,600,19
1501,500,19
1411,400,19
1321,500,19
1294,600,19
1142,600,20
1133,500,20
953,400,20
953,500,20
944,600,20
872,600,21
863,500,21
1133,400,21
1414,200,21
765,400,21
495,500,21
486,600,21
468,600,22
495,500,22
765,400,22
1414,200,22
1501,400,22
1231,500,22
1222,600,22
388,600,23
397,500,23
307,400,23
1014,200,23
1043,400,23
1043,500,23
1070,600,23
486,600,24
495,500,24
495,400,24
214,200,24
1231,400,24
1231,500,24
1204,600,24
1384,600,25
1411,500,25
1501,400,25
1414,200,25
765,400,25
675,500,25
666,600,25
280,600,26
307,500,26
307,400,26
127,500,26
136,600,26
190,600,27
217,500,27
244,600,27
872,600,28
863,500,28
863,400,28
214,200,28
1231,400,28
1411,500,28
1384,600,28
1492,600,29
1501,500,29
1321,400,29
614,200,29
217,400,29
127,500,29
154,600,29
558,600,30
585,500,30
495,400,30
214,200,30
863,400,30
953,500,30
962,600,30
1474,600,31
1501,500,31
1321,400,31
1321,500,31
1348,600,31
388,600,32
397,500,32
307,400,32
1014,200,32
1411,400,32
1231,500,32
1258,600,32
1384,600,33
1411,500,33
1411,400,33
1501,500,33
1510,600,33
1492,600,34
1501,500,34
1231,400,34
214,200,34
495,400,34
495,500,34
504,600,34
1124,600,35
1133,500,35
953,400,35
614,200,35
217,400,35
127,500,35
100,600,35
926,600,36
953,500,36
1133,400,36
863,500,36
854,600,36
962,600,37
953,500,37
953,400,37
614,200,37
1321,400,37
1501,500,37
1528,600,37
504,600,38
495,500,38
765,400,38
1414,200,38
1501,400,38
1501,500,38
1474,600,38
316,600,39
307,500,39
280,600,39
1034,600,40
1043,500,40
1043,400,40
1014,200,40
1411,400,40
1411,500,40
1384,600,40
594,600,41
585,500,41
585,400,41
614,200,41
953,400,41
1133,500,41
1106,600,41
1402,600,42
1411,500,42
1231,400,42
214,200,42
863,400,42
1043,500,42
1052,600,42
1070,600,43
1043,500,43
1043,400,43
1014,200,43
307,400,43
127,500,43
118,600,43
980,600,44
953,500,44
863,400,44
214,200,44
1231,400,44
1501,500,44
1492,600,44
1070,600,45
1043,500,45
1034,600,45
836,600,46
863,500,46
1043,400,46
1014,200,46
675,400,46
765,500,46
756,600,46
280,600,47
307,500,47
307,400,47
1014,200,47
1043,400,47
1043,500,47
1034,600,47
980,600,48
953,500,48
1043,400,48
1014,200,48
307,400,48
127,500,48
136,600,48
1258,600,49
1231,500,49
1321,400,49
614,200,49
953,400,49
1043,500,49
1034,600,49
100,600,50
127,500,50
154,600,50
1016,600,51
1043,500,51
1070,600,51
1384,600,52
1411,500,52
1321,400,52
614,200,52
585,400,52
495,500,52
468,600,52
316,600,53
307,500,53
334,600,53
1106,600,54
1133,500,54
863,400,54
953,500,54
980,600,54
944,600,55
953,500,55
953,400,55
614,200,55
585,400,55
585,500,55
612,600,55
648,600,56
675,500,56
765,400,56
585,500,56
594,600,56
1240,600,57
1231,500,57
1231,400,57
1321,500,57
1348,600,57
774,600,58
765,500,58
765,400,58
1414,200,58
397,400,58
397,500,58
424,600,58
612,600,59
585,500,59
675,400,59
495,500,59
468,600,59
666,600,60
675,500,60
765,400,60
1414,200,60
1501,400,60
1411,500,60
1420,600,60
298,600,61
307,500,61
217,400,61
614,200,61
953,400,61
1043,500,61
1070,600,61
1124,600,62
1133,500,62
1133,400,62
1414,200,62
397,400,62
307,500,62
334,600,62
1070,600,63
1043,500,63
1043,400,63
1014,200,63
307,400,63
127,500,63
118,600,63
926,600,64
953,500,64
863,400,64
214,200,64
1231,400,64
1411,500,64
1438,600,64
1034,600,65
1043,500,65
1043,400,65
1014,200,65
675,400,65
675,500,65
702,600,65
190,600,66
217,500,66
397,400,66
1414,200,66
1133,400,66
863,500,66
872,600,66
774,600,67
765,500,67
495,400,67
214,200,67
127,400,67
307,500,67
298,600,67
756,600,68
765,500,68
495,400,68
214,200,68
127,400,68
127,500,68
136,600,68
334,600,69
307,500,69
307,400,69
1014,200,69
675,400,69
495,500,69
468,600,69
1330,600,70
1321,500,70
1411,400,70
1501,500,70
1492,600,70
756,600,71
765,500,71
495,400,71
214,200,71
127,400,71
127,500,71
136,600,71
486,600,72
495,500,72
495,400,72
214,200,72
1231,400,72
1501,500,72
1492,600,72
1052,600,73
1043,500,73
953,400,73
614,200,73
1321,400,73
1321,500,73
1330,600,73
980,600,74
953,500,74
1133,400,74
1414,200,74
765,400,74
585,500,74
558,600,74
316,600,75
307,500,75
397,400,75
397,500,75
424,600,75
1160,600,76
1133,500,76
1133,400,76
1414,200,76
397,400,76
397,500,76
388,600,76
226,600,77
217,500,77
127,400,77
214,200,77
495,400,77
495,500,77
504,600,77
962,600,78
953,500,78
863,400,78
214,200,78
1231,400,78
1231,500,78
1258,600,78
208,600,79
217,500,79
217,400,79
307,500,79
334,600,79
774,600,80
765,500,80
585,400,80
614,200,80
217,400,80
127,500,80
118,600,80
944,600,81
953,500,81
953,400,81
614,200,81
217,400,81
307,500,81
316,600,81
1222,600,82
1231,500,82
1231,400,82
214,200,82
495,400,82
585,500,82
594,600,82
836,600,83
863,500,83
890,600,83
648,600,84
675,500,84
675,400,84
495,500,84
522,600,84
1070,600,85
1043,500,85
1133,400,85
1414,200,85
397,400,85
127,500,85
154,600,85
280,600,86
307,500,86
217,400,86
614,200,86
1321,400,86
1501,500,86
1492,600,86
244,600,87
217,500,87
127,400,87
214,200,87
1231,400,87
1321,500,87
1330,600,87
1240,600,88
1231,500,88
1411,400,88
1014,200,88
675,400,88
495,500,88
486,600,88
702,600,89
675,500,89
675,400,89
585,500,89
576,600,89
208,600,90
217,500,90
217,400,90
614,200,90
1321,400,90
1411,500,90
1384,600,90
1312,600,91
1321,500,91
1411,400,91
1014,200,91
307,400,91
397,500,91
370,600,91
738,600,92
765,500,92
495,400,92
585,500,92
576,600,92
136,600,93
127,500,93
307,400,93
397,500,93
370,600,93
1106,600,94
1133,500,94
863,400,94
214,200,94
495,400,94
585,500,94
576,600,94
774,600,95
765,500,95
765,400,95
675,500,95
702,600,95
1312,600,96
1321,500,96
1231,400,96
214,200,96
127,400,96
127,500,96
118,600,96
118,600,97
127,500,97
307,400,97
1014,200,97
1043,400,97
1133,500,97
1106,600,97
1160,600,98
1133,500,98
953,400,98
614,200,98
1321,400,98
1411,500,98
1384,600,98
1160,600,99
1133,500,99
1133,400,99
1414,200,99
1501,400,99
1411,500,99
1402,600,99
702,600,100
675,500,100
585,400,100
614,200,100
217,400,100
397,500,100
370,600,100
836,600,101
863,500,101
863,400,101
214,200,101
1231,400,101
1231,500,101
1240,600,101
962,600,102
953,500,102
953,400,102
614,200,102
1321,400,102
1501,500,102
1510,600,102
1510,600,103
1501,500,103
1501,400,103
1414,200,103
1133,400,103
1133,500,103
1106,600,103
1052,600,104
1043,500,104
863,400,104
214,200,104
1231,400,104
1321,500,104
1330,600,104
1016,600,105
1043,500,105
1133,400,105
1414,200,105
397,400,105
127,500,105
154,600,105
648,600,106
675,500,106
495,400,106
214,200,106
127,400,106
397,500,106
406,600,106
1106,600,107
1133,500,107
953,400,107
1043,500,107
1052,600,107
190,600,108
217,500,108
397,400,108
1414,200,108
1501,400,108
1321,500,108
1330,600,108
226,600,109
217,500,109
397,400,109
1414,200,109
765,400,109
495,500,109
486,600,109
100,600,110
127,500,110
217,400,110
614,200,110
1321,400,110
1501,500,110
1474,600,110
1052,600,111
1043,500,111
863,400,111
1133,500,111
1106,600,111
684,600,112
675,500,112
585,400,112
614,200,112
953,400,112
1043,500,112
1052,600,112
1016,600,113
1043,500,113
1043,400,113
1014,200,113
307,400,113
307,500,113
334,600,113
684,600,114
675,500,114
765,400,114
1414,200,114
397,400,114
217,500,114
226,600,114
612,600,115
585,500,115
765,400,115
1414,200,115
1501,400,115
1231,500,115
1222,600,115
280,600,116
307,500,116
307,400,116
1014,200,116
1411,400,116
1321,500,116
1330,600,116
890,600,117
863,500,117
953,400,117
614,200,117
1321,400,117
1321,500,117
1348,600,117
774,600,118
765,500,118
585,400,118
495,500,118
486,600,118
522,600,119
495,500,119
765,400,119
1414,200,119
397,400,119
